benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,F1:transfer/(comp+mem),F2:coalesced/mem,F3:(localmem/mem)*avgws,F4:comp/mem,oracle,runtime,speedup,penalty,runtime_cpu,ci_cpu,ci_mean_cpu,runtime_gpu,ci_gpu,ci_mean_gpu,kernel_nlines,kernel_size
011cb6eaff0d8431d380597d216780676df68344.cl-A,16384,1,1,3,0,2,0,393216,256,98304.0,0.667,0.0,0.333,CPU,0.105208,1.06,0.95,0.105208,0.028604,0.27188,0.111155,0.003366,0.030282,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,2048,1,1,3,0,2,0,49152,256,12288.0,0.667,0.0,0.333,GPU,0.018195,2.67,0.38,0.048511,0.014066,0.289955,0.018195,0.003561,0.195713,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,2097152,1,1,3,0,2,0,50331648,256,12582912.0,0.667,0.0,0.333,CPU,8.273984,2.24,0.45,8.273984,2.063861,0.24944,18.511258,0.012546,0.000678,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,256,1,1,3,0,2,0,6144,256,1536.0,0.667,0.0,0.333,GPU,0.01488,1.00,1.00,0.014932,0.018241,1.221605,0.01488,0.00283,0.190188,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,262144,1,1,3,0,2,0,6291456,256,1572864.0,0.667,0.0,0.333,CPU,0.847545,2.49,0.40,0.847545,0.361817,0.4269,2.11239,0.000726,0.000344,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,4096,1,1,3,0,2,0,98304,256,24576.0,0.667,0.0,0.333,GPU,0.02048,3.71,0.27,0.076028,0.011913,0.156692,0.02048,0.003297,0.160986,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,4194304,1,1,3,0,2,0,100663296,256,25165824.0,0.667,0.0,0.333,CPU,13.277663,2.81,0.36,13.277663,2.130604,0.160465,37.342131,0.223922,0.005996,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,512,1,1,3,0,2,0,12288,256,3072.0,0.667,0.0,0.333,GPU,0.015578,3.46,0.29,0.053917,0.007079,0.131294,0.015578,0.003358,0.21556,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,524288,1,1,3,0,2,0,12582912,256,3145728.0,0.667,0.0,0.333,CPU,1.886327,2.24,0.45,1.886327,0.394489,0.209131,4.220237,0.003805,0.000902,8,169
011cb6eaff0d8431d380597d216780676df68344.cl-A,64,1,1,3,0,2,0,1536,64,384.0,0.667,0.0,0.333,CPU,0.009903,1.59,0.63,0.009903,0.002187,0.220842,0.01577,0.003807,0.241408,8,169
